Library, Average Power,Energy,Branch coverage,Coverage,Line coverage,Lines to cover,Skipped tests,Uncovered conditions,Uncovered lines,Tests,Test execution time,Test errors,Test failures,Test success density
jsonutils,38.7890845,23.2734507,61.5,67.6,71,3030,0,654,879,48,84811,0,0,100
corn,53.0226019708029,36.32048235,52.1,60.3,64.7,1576,0,408,556,96,103,0,0,100
cookjson,25.766373,7.7299119,87.2,55.5,47.8,6530,0,201,3406,244,3926,0,0,100
json-lib,46.866382016632,225.4272975,71.3,74.1,75.8,4884,0,878,1181,880,2164,0,0,100
jackson-databind,29.3535095652174,10.1269608,70.3,75.4,78.2,32538,0,5128,7108,2632,20741,0,0,100
json-simple,34.7891460240964,14.4374956,50.5,55.7,58,800,0,180,336,3,123,0,1,66.7
genson,54.8773795238095,17.28637455,67.3,73.2,76.3,5209,2,893,1234,337,3409,0,0,100
flex-json,55.57979,37.2384593,69.7,72.6,74,1711,4,259,445,105,336,1,0,99
jsonij,54.0475195744681,25.4023342,55.4,40.4,35.9,6384,0,836,4090,140,1659,0,0,100
fastjson,52.1112084615385,16.93614275,78.4,83.9,87.6,27879,0,3942,3469,4979,60614,1,0,100
json,34.0784654320988,13.8017785,84.4,34.7,25.2,8501,0,255,6356,328,961,0,0,100
gson,30.5370795588235,10.38260705,79.1,34.9,27.3,14100,1,511,10257,1049,793,0,0,100
sojo,51.7581638983051,76.34329175,95.5,96.7,97.2,2947,0,63,82,874,1101,0,0,100
mjson,52.6416462,26.3208231,61.9,67.2,71,1082,0,297,314,36,54,1,0,97.2
